87,CCCOC[N+]1=CN(CC2=CC=CC=C2)C=C1.N#C[N-]C#N,87
88,CCCOC[N+]1=CN(CC2=CC=CC=C2)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,88
89,CCCCCCOC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,89
90,CCCCCCOCN1C=C[N+](COCCCCCC)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,90
91,C[N+]1=CN(CC2=CC=CC=C2)C=C1.N#C[N-]C#N,91
92,C[N+]1=CN(CC2=CC=CC=C2)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,92
93,CN1C=C[N+](C[Si](C)(C)C)=C1.[Cl-],93
94,CN1C=C[N+](CCCl)=C1.N#C[N-]C#N,94
95,COCC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,95
96,C[N+]1=CN(CCO)C=C1.F[B-](F)(F)F,96
97,C[N+]1=CN(CCO)C=C1.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,97
98,C[N+]1=CN(CCO)C=C1.N#C[N-]C#N,98
99,C[N+]1=CN(CCO)C=C1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,99
100,C[N+]1=CN(CCO)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,100
101,C[N+]1=CN(CCO)C=C1.F[P-](F)(F)(F)(F)F,101
102,CN1C=C[N+](CCCB(O)O)=C1.[Br-],102
103,CCCCCCCCN1C=C[N+](CCCB(O)O)=C1.[Br-],103
104,CCCCCCCCCCN1C=C[N+](CCCB(O)O)=C1.[Br-],104
105,CCCCCCCCCCCCN1C=C[N+](CCCB(O)O)=C1.[Br-],105
106,CN1C=C[N+](CCCC#N)=C1.N#C[N-]C#N,106
107,CN1C=C[N+](CCCC#N)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,107
108,C[N+]1=CN(CCCO)C=C1.N#C[N-]C#N,108
109,C[N+]1=CN(CCCO)C=C1.[O-][N+]([O-])=O,109
110,C[N+]1=CN(CCCO)C=C1.[S-]C#N,110
111,C[N+]1=CN(CCCC[S](O)(=O)=O)C=C1.OS([O-])(=O)=O,111
